cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3220472,3242837,1685.2,974.5,1824.3,1762.2,1005.1,1817.2,1761.1,1005.6,1793.6,-1,184,0.45747,-0.30374,-5.36307,5.39111
3217577,3239829,1706.5,994.0,1872.9,1778.3,1022.6,1868.5,1777.9,1024.0,1842.9,-1,184,1.75091,-2.14463,-6.32552,6.90488
3219408,3241829,1693.6,965.1,1850.2,1767.9,994.6,1843.4,1767.7,995.0,1818.9,-1,184,0.70398,0.68503,-5.16789,5.26041
3220479,3242847,1610.1,966.7,1823.1,1687.7,997.5,1807.8,1686.2,996.7,1792.2,-1,184,0.64665,0.64356,-4.63752,4.72641
3220480,3242850,1616.3,950.0,1821.3,1694.1,980.9,1805.9,1692.6,981.1,1791.1,-1,184,0.2698,0.05857,-5.41654,5.42357
3220476,3242844,1616.8,956.8,1835.5,1693.1,987.1,1820.4,1691.2,986.5,1802.6,-1,184,0.69145,0.96671,-5.14335,5.27889
3220102,3242472,1620.0,985.3,1828.2,1697.0,1015.8,1814.6,1695.4,1015.7,1796.1,-1,184,0.23529,0.93253,-4.78255,4.8783
3220481,3242848,1613.4,948.8,1823.5,1691.0,979.6,1807.7,1689.5,979.7,1792.5,-1,184,0.51389,0.35712,-5.20119,5.2387
3221312,3243700,1644.4,870.5,1798.3,1724.7,902.3,1782.8,1724.6,901.4,1775.6,-1,184,0.79562,-0.28269,-5.23837,5.30598
3220482,3242849,1607.2,949.0,1830.1,1684.2,979.4,1813.7,1682.7,979.0,1797.8,-1,184,0.39324,0.71704,-5.11024,5.17527
3220099,3242477,1619.0,1002.6,1818.5,1696.9,1033.5,1805.6,1695.3,1033.6,1785.9,-1,184,0.17208,1.29803,-4.98717,5.15619
3220101,3242471,1623.3,985.8,1839.0,1699.1,1015.9,1825.8,1697.6,1015.8,1806.9,-1,184,0.39598,0.6884,-4.75816,4.82398
3220477,3242845,1616.5,962.8,1827.4,1693.6,993.4,1812.6,1691.9,992.9,1794.9,-1,184,0.67752,0.97132,-5.39575,5.52419
3217745,3240017,1633.8,907.8,1825.8,1711.2,938.5,1810.5,1709.6,938.6,1796.9,-1,184,0.47531,-0.64599,-5.18167,5.24337
3220082,3242457,1632.9,1016.3,1849.7,1707.4,1045.9,1838.7,1706.1,1047.4,1818.2,-1,184,0.26902,0.56447,-5.50045,5.53588
3217895,3240196,1713.6,956.7,1806.4,1792.4,988.0,1801.7,1792.7,988.4,1778.4,-1,184,0.50768,0.33672,-5.62962,5.66249
3219412,3241834,1667.8,939.6,1830.0,1744.4,970.1,1819.6,1743.3,969.2,1800.9,-1,184,0.30373,0.15406,-5.25683,5.26785
3219416,3241833,1678.1,940.1,1831.7,1754.4,970.5,1822.4,1753.6,969.6,1801.9,-1,184,0.16635,-0.23598,-5.32559,5.33341
3220475,3242843,1632.8,953.1,1840.0,1708.5,983.1,1826.4,1707.0,982.6,1808.2,-1,184,0.52651,0.38927,-5.5156,5.55433
3217746,3239989,1655.8,893.7,1810.8,1734.7,925.0,1797.3,1733.5,925.6,1786.5,-1,184,0.57987,-0.90031,-5.30844,5.41538
3220469,3242840,1630.2,1003.6,1863.8,1703.2,1032.6,1851.9,1701.2,1033.4,1832.9,-1,184,0.59229,0.45059,-5.06809,5.12243
